,0,1,2,3,4,5,6
0,2,-5,0,6,584,969,2.90904553911
1,2,-5,2,6,582,969,2.46467942951
2,2,-5,3,6,590,969,3.41071226836
3,2,-5,4,6,592,969,2.96046601303
4,2,-4,0,6,584,969,2.90904553911
5,2,-4,2,6,590,969,2.92641018849
6,2,-4,3,6,591,969,3.15072293488
7,2,-4,4,18,586,957,5.00519531398
8,2,-3,0,6,584,969,2.90904553911
9,2,-3,1,6,582,969,2.40468865151
10,2,-3,3,18,586,957,5.00519531398
11,2,-3,4,18,590,945,5.66884198016
12,2,-2,0,6,584,969,2.90904553911
13,2,-2,1,6,590,969,2.92641018849
14,2,-2,2,18,586,957,5.00519531398
15,2,-2,3,18,491,800,4.9504516802
16,2,-1,0,6,584,969,2.90904553911
17,2,-1,1,18,586,957,5.00519531398
18,2,-1,3,18,7,10,0.543501650151
19,2,-1,4,6,7,8,0.365856765779
20,2,-1,4,10,6,7,0.528465137891
21,2,-1,4,14,6,7,0.573257714388
22,2,-1,4,18,6,7,0.578513790807
23,2,0,0,2,3,3,0.0361175488514
24,2,3,-1,2,1,1,0.00379443280594
25,2,3,-1,18,1,1,0.017378924335
26,2,4,-1,18,28,46,0.303649322089
27,6,-3,-5,6,580,965,1.53209671075
28,6,-3,4,6,594,963,4.04346459637
29,6,-3,4,10,584,959,5.36895929401
30,6,-3,4,14,584,955,6.74568908515
31,6,-3,4,18,595,951,8.17307952328
32,6,-2,3,6,533,887,3.84134087214
33,6,-2,3,10,534,883,4.90864725036
34,6,-2,3,14,540,879,6.02072514172
35,6,-2,3,18,535,875,7.33655409259
36,6,-1,3,2,7,11,0.173608277368
37,6,-1,3,6,10,11,0.647983132876
38,6,-1,3,10,10,11,0.934675210249
39,6,-1,3,14,11,11,0.977191458305
40,6,-1,3,18,11,11,0.927606095896
41,6,-1,4,2,7,11,0.172899812754
42,6,-1,4,6,10,11,0.663566881279
43,6,-1,4,10,11,11,0.963550331887
44,6,-1,4,14,11,11,0.936221240707
45,6,-1,4,18,11,11,0.918840905257
46,6,0,0,2,3,3,0.0361175488514
47,6,2,-1,10,100,164,0.323873058309
48,6,3,-1,2,1,1,0.000999691231686
49,6,4,-2,10,100,164,0.323873058309
50,10,-5,4,18,575,949,5.99386534715
51,10,-4,3,18,575,949,6.09674238085
52,10,-4,4,18,583,949,6.36577046787
53,10,-3,2,18,572,949,5.76195132138
54,10,-3,3,18,583,949,6.36577046787
55,10,-3,4,14,581,951,5.57254071925
56,10,-3,4,18,576,947,7.22367757623
57,10,-2,2,18,583,949,6.36577046787
58,10,-2,3,10,547,910,5.32913674006
59,10,-2,3,14,552,906,6.76051090651
60,10,-2,3,18,550,902,8.059205782
61,10,-2,4,10,118,195,1.73954074934
62,10,-2,4,14,117,192,2.25360346474
63,10,-1,1,18,583,949,6.36577046787
64,10,-1,2,10,118,195,1.73954074934
65,10,-1,2,14,117,192,2.25360346474
66,10,-1,3,2,13,17,0.287183761527
67,10,-1,3,6,14,17,0.907500746628
68,10,-1,3,10,15,17,1.0656071595
69,10,-1,3,14,16,17,1.05308877909
70,10,-1,3,18,16,17,1.29204519885
71,10,-1,4,2,12,15,0.311245198791
72,10,-1,4,6,14,15,0.965701787673
73,10,-1,4,10,13,15,1.01201786252
74,10,-1,4,14,14,15,1.00070296615
75,10,-1,4,18,14,15,1.14495929494
76,10,0,0,2,3,3,0.0361175488514
77,10,2,-1,14,97,153,0.888932663463
78,10,2,-1,18,92,149,0.793192624222
79,10,4,-2,14,97,153,0.888932663463
80,10,4,-2,18,92,149,0.793192624222
81,14,-3,4,10,575,953,4.92397667815
82,14,-3,4,14,579,949,6.41270736597
83,14,-3,4,18,591,945,7.73362647863
84,14,-2,3,14,563,911,5.8389986384
85,14,-2,3,18,546,907,6.56516930217
86,14,-1,3,2,18,23,0.436583915224
87,14,-1,3,6,18,23,1.06056703598
88,14,-1,3,10,18,23,1.16150445417
89,14,-1,3,14,21,23,1.34917388689
90,14,-1,3,18,23,23,1.7463952851
91,14,-1,4,2,17,22,0.417316374761
92,14,-1,4,6,17,22,0.993456280164
93,14,-1,4,10,17,22,1.1005801329
94,14,-1,4,14,20,22,1.2665350713
95,14,-1,4,18,22,22,1.63475718859
96,14,0,0,2,3,3,0.0361175488514
97,14,4,-1,18,17,24,0.102711147242
98,18,-5,4,18,565,941,7.92664000474
99,18,-3,4,14,578,945,6.71023606921
100,18,-2,3,10,556,926,5.44080910297
101,18,-2,3,14,558,922,6.61570504709
102,18,-2,4,6,188,311,2.3354044099
103,18,-1,2,6,188,311,2.3354044099
104,18,-1,3,2,35,53,0.646844176688
105,18,-1,3,6,36,53,1.17275917143
106,18,-1,3,10,40,53,1.88366161827
107,18,-1,3,14,45,53,2.41482391434
108,18,-1,3,18,45,53,2.77562974671
109,18,-1,4,2,31,46,0.619702263587
110,18,-1,4,6,32,46,1.1016478601
111,18,-1,4,10,35,46,1.72083269634
112,18,-1,4,14,42,46,2.41305693753
113,18,-1,4,18,41,46,2.6622100861
114,18,0,0,2,3,3,0.0361175488514
115,18,2,-1,10,108,176,0.891401917543
116,18,2,-1,14,104,173,1.03939417674
117,18,4,-2,10,108,176,0.891401917543
118,18,4,-2,14,104,173,1.03939417674
